Question,Answer
"Mi a teendő, ha a vállalat csak MSc-s hallgatókat alkalmazhat?",Lehetőség van új vállalat regisztrációjára tanszéki portálon keresztül.
Lehet-e kérvénnyel emelni a heti óraszámot?,"Van lehetőség, elektronikusan kell beküldeni."
Mi a teendő a kérvény elküldésével kapcsolatban?,A kérvényt elektronikusan kell elküldeni.
Hogy kell a konzulensnek megadni az adatokat?,A konzulensnek a portálon kell megadni az adatokat.
Milyen formában kell bemutatni a kérvény pozitív elbírálását?,Elektronikus formában.
Ki legyen a tanszéki konzulens a szakdolgozatnál?,A szakdolgozatnál a tanszéki konzulenshez kell fordulni.
Ki legyen a konzulens a szakmai gyakorlatnál?,A szakmai gyakorlatnál a konzulensnek a tanszéki konzulensnek kell lennie.
Mennyi időt kell tölteni a szakmai gyakorlaton?,"A szükséges munkaórák száma a szaktól és képzési szinttől függően 160, 240 vagy 320 óra."
"Mi a teendő, ha nem sikerül időben beadni a dokumentumokat?",Kérni kell az engedélyt az utólagos beadásra a speciális helyzet indoklásával.
Milyen dokumentumokat kell beadni a szakmai gyakorlatra jelentkezéskor?,Jelentkezési lapot és feladatlapot kell kitölteni és beadni.
Mennyi idővel előtte kell beadni a szakmai gyakorlatra jelentkezést?,A formanyomtatványokat el kell fogadtatni a szakmai gyakorlat elkezdése előtt.
Milyen feltételekkel lehet utólagosan elfogadni a szakmai gyakorlatra való jelentkezést?,Az utólagos elfogadás kizárólag a speciális helyzetben engedélyezett.
Melyik munkanapló sablont használhatom?,A szakmai gyakorlat munkanapló sablont kell használnod.
Hány sor van a munkanapló sablonban?,A munkanapló sablonban 30 sor található.
Hogyan tudok új sort beszúrni a munkanaplóba?,Sajnos a munkanapló sablonban nem lehet új sort beszúrni.
"Hogyan oldjam meg, ha több, mint 30 nap alatt teljesítem a szakmai gyakorlatot?","Ebben az esetben javasolt új munkanaplót kezdeni, vagy a meglévőt másolni és folytatni a hiányzó napokkal."
"Mely céget kell megadnom, ha diákszövetkezeten keresztül dolgozom?",A diákszövetkezet adatait kell megadnod. 
Hogy kell kitölteni a 'Kérelem új vállalat regisztrációjára' formot?,A sárgán kiemelt mezőbe add meg az iskolaszövetkezet vagy munkaerő-közvetítő adatait.
Mikor kellett volna adminisztrálni a tanszéki portálra?,"A megállapodás létrejött korábban, tehát mielőtt a témát felvetted és jelentkeztél."
Milyen teendőid vannak a szerződéskötéshez?,El kell menned a Q épület B 207-es irodájába és leadnod a megállapodást.
Mikor kell leadni a szakmai gyakorlat jelentését?,A szakmai gyakorlat jelentését a szorgalmi időszak utolsó hetében kell leadni.
Milyen dokumentumokat kell benyújtani a szakmai gyakorlat előtt?,"A szakmai gyakorlat előtt be kell nyújtani a gyakorlati hely megerősítését, a témakiírást és a vállalati mentor nevét."
Milyen dokumentumokon kell megadni a gyakorlóhelyi konzulenst?,"A gyakorlatodhoz tartozó dokumentumokon meg kell adnod azt a személyt, aki ténylegesen felügyelni fogja a munkádat."
Milyen teendőm van a gyakorlatra történő jelentkezésem után?,"Miután benyújtottad a jelentkezésedet a gyakorlatra, nincs más teendőd, csak várni a visszajelzést."
"Milyen esetben lehet kevesebb, mint 320 órát ledolgozni a szakmai gyakorlaton?","Ha a póthéten is dolgozol, akkor a heti munkaidőt hétvégével is számolhatod, így az elveszett 2 nap miatt is elérheted a 320 órát."
Hogyan tudunk együttműködést kezdeményezni?,"Kérem, hogy küldjön részletes információkat a cégükről és az elképzeléseikről, és egy személyes találkozót is szívesen fogadunk, ahol bővebben beszélhetünk a lehetőségekről."
Milyen feladatlapot kell feltölteni?,A feladatlapot az AUT szakmai gyak portálra kell feltölteni.
Milyen dokumentumokat kell feltölteni a portálra?,"A beszámolót, igazolólapot és munkanaplót kell a portálra feltölteni."
Hányan kell aláírni a kérelmet?,A kérelmet két embernek kell aláírni.
Mikor számítanak bele az órák a szakmai gyakorlatban?,Az órák számítása a szerződés megkötése után kezdődik.
"Mi történik, ha nem fejezem be a szakmai gyakorlatot a félév végéig?","Ha nem fejezed be a szakmai gyakorlatot a félév végéig, akkor a következő félévben befejezheted, de nem kell aktív félévet fizetned érte."
"Mi a teendő, ha visszamenőleg szeretném elfogadtatni a korábbi szakmai gyakorlatomat?",Sajnos visszamenőlegesen nem lehet elfogadtatni a szakmai gyakorlatot. A gyakorlat kezdetén kell elkészíteni és beadni a feladatlapot.
"Mi a teendő, ha már tavaly óta dolgozom egy cégnél, amely a szakmai gyakorlóhelyek listáján szerepel?","Ha az adott cég szerepel az egyetemmel megállapodást kötött szakmai gyakorlóhelyek listáján, akkor lehetőséged van beszámolni a korábbi munkádról."
Milyen formában kell bemutatni a pozitív elbírálást?,A pozitív elbírálást elektronikus formában kell bemutatni.
Mire van szüksége a céges adminisztratív kapcsolattartónak?,"A cég nevére és címére, valamint a céges adminisztratív kapcsolattartó nevére, e-mail címére és telefonszámára van szüksége."
Mikor lesz a megállapodás véglegesítve?,"Nincs pontos információ arról, hogy mikor lesz véglegesítve a megállapodás."
Hol kell leadni a dokumentumokat?,A dokumentumokat az anyatanszéken kell leadnod.
"Mi a teendő, ha nem találtam információt a megállapodás véglegességéről?","Amennyiben nem találtál információt a megállapodás véglegességéről, érdemes érdeklődni az egyetem illetékes szerveinél."
Hol találhatóak a szakmai gyakorlati információk?,A szakmai gyakorlati információkat a https://www.aut.bme.hu/SzakmaiGyakorlat/ weboldalon találod.
Milyen adatokra van szükségem a céggel kapcsolatban?,"Szükséged lesz a cég nevére, címére, valamint a céges adminisztratív kapcsolattartó nevére, e-mail címére és telefonszámára."
Mi a teendőm a szakmai gyakorlat elkönyvelésével kapcsolatban?,"Kérvényezned kell a szakmai gyakorlat elkönyvelését a kari felelős felé, és biztosítanod kell a szükséges adatokat a céggel kapcsolatban."
Milyen nyilatkozatot kell kitölteni a szakmai gyakorlat során?,"A szakmai gyakorlat esetében nincs szükség nyilatkozat kitöltésére, amire hivatkozol."
Hogyan kell aláírni a szakmai gyakorlat beszámolóját?,"A szakmai gyakorlat beszámolójában szükséges egy oldalt aláírni. Ha az ügyfélkapun keresztül elektronikus aláírással írod alá, az is elfogadható."
Milyen információkat kell megjelölni a szakmai gyakorlat beszámolójában?,"A szakmai gyakorlat beszámolójában minden forrást meg kell jelölni, és igazolni kell, hogy azokat használtad."
Milyen dokumentumokat kell beadni a szakmai gyakorlat előtt?,Feladatlapot és jelentkezési lapot kell benyújtani a szakmai gyakorlat megkezdése előtt.
Hogyan lehet utólagosan elfogadni a szakmai gyakorlat jelentkezést?,"Amennyiben a szakmai gyakorlat dokumentálása rendben zajlott, és csak leadni felejtették el a dokumentumokat, azt utólagosan megtehetik."
Mikor kell teljesíteni a szakmai gyakorlatot?,A szakmai gyakorlatot a szakdolgozat és az abszolutórium megszerzése előtt kell teljesíteni.
Mi a célja a szakmai gyakorlatnak?,"A szakmai gyakorlat célja, hogy a hallgatók gyakorlati tapasztalatot szerezzenek a szakmájukban és alkalmazhassák az egyetemen megszerzett elméleti ismereteket."
Milyen időszakra vonatkozik a szakmai gyakorlat?,"A szakmai gyakorlat a tárgyhoz kapcsolódó időszakban zajlik, általában egy félév vagy nyári szünet ideje alatt."
Milyen dokumentumokat kell benyújtani a szakmai gyakorlat elvégzéséhez?,"A szakmai gyakorlat elvégzéséhez általában szükséges a jelentkezési és feladatlap benyújtása, valamint az elvégzett munka igazolása."
Hogyan történik a szakmai gyakorlati munka elszámolása?,"A szakmai gyakorlati munka elszámolása általában utólag történik, a végzett munka alapján."
Milyen teendők vannak a cégnek az adminisztrációval kapcsolatban?,A cégnek alá kell írnia a megállapodást és kitölteni a mellékletet.
Hova kell elküldeni a megállapodástervezetet?,A megállapodástervezetet el kell küldeni a kérvényben megadott e-mail címre.
