Question,Answer
Mennyi ideig tart a villamosmérnöki BSc szakon a szakmai gyakorlat?,Legalább 6 hét (240 munkaóra).
"Melyek azok a feltételek, amelyeknek a gyakorlóhelynek meg kell felelnie a szakmai gyakorlat végzéséhez?","A gyakorlóhelynek rendelkeznie kell együttműködési megállapodással a karral, valamint a hallgatóval hallgatói munkaszerződést kell kötnie."
Mennyi ideig tart a mérnökinformatikus BSc szakon 2014 szeptembere előtt kezdett hallgatók esetén a szakmai gyakorlat?,Legalább 6 hét (240 munkaóra).
Mennyi ideig tart a mérnökinformatikus BSc szakon 2014 szeptemberétől kezdett hallgatók esetén a szakmai gyakorlat?,Legalább 8 hét (320 munkaóra).
Mennyi ideig tart a villamosmérnöki MSc szakon a szakmai gyakorlat?,Legalább 4 hét (160 munkaóra).
Mennyi ideig tart az egészségügyi mérnöki MSc szakon a szakmai gyakorlat?,Legalább 4 hét (160 munkaóra).
Mennyi ideig tart a mérnökinformatikus MSc szakon 2015 januárja előtt kezdett hallgatók esetén a szakmai gyakorlat?,Legalább 4 hét (160 munkaóra).
Milyen feltételek szükségesek a szakmai gyakorlat elfogadásához?,"15-20 oldalas beszámoló a végzett munkáról, napi bontású, a külső konzulenssel hitelesített munkanapló, a külső konzulens által készített értékelő jelentés."
Milyen időpontban lehet kezdeni a szakmai gyakorlatot?,"A javasolt kezdési időpont a vizsgaidőszak vége, de a szakmai gyakorlat a szabályzatban foglalt időpontok szerint végezhető."
Mennyi időt kell minimum tölteni a gyakorlati helyen?,"Mérnökinformatikus MSc szakon legalább 6 hét (240 munkaóra), Gazdaságinformatikus MSc szakon 2015 januárja előtt kezdett hallgatóknak legalább 4 hét (160 munkaóra), Gazdaságinformatikus MSc szakon 2015 januárjától kezdett hallgatóknak legalább 6 hét (240 munkaóra)."
Milyen munkaszerződést kell kötni a hallgatóval a gyakorlati helyen?,A hallgatóval hallgatói munkaszerződést kell kötni.
Mik a szorgalmi időszakban elvárt heti óraszámok a gyakorlati munkára?,A szorgalmi időszakban maximum heti 20 óra gyakorlati munka végezhető.
Hol lehet megtekinteni a szakmai gyakorlat helyszíneit és témáit?,A specializációt gondozó tanszék honlapján a félév közepétől lehet megtekinteni.
Melyek a szakmai gyakorlat elfogadásának feltételei?,"15-20 oldalas beszámoló a végzett munkáról, napi bontású, a külső konzulenssel hitelesített munkanapló, a külső konzulens által készített értékelő jelentés."
Milyen időpontban lehet jelezni az esetleges nyári kollégiumi igényt?,A KEFIR-en keresztül kell kell jelentkezni nyári kollégiumra a tavaszi félév vége felé.
"Melyek azok a szakok, ahol opcionális az együttműködési megállapodás a karral?","A Gazdaságinformatikus MSc szakon az együttműködési megállapodás megléte a karral nem követelmény, opcionális."
Mennyi időt kell minimum tölteni a gyakorlati helyen a Gazdaságinformatikus MSc szakon 2015 januárja előtt kezdett hallgatóknak?,Legalább 4 hét (160 munkaóra).
Mikor kell kérvényezni a megállapodás megkötését?,"Amennyiben a választott gyakorlóhellyel nincs még a karnak együttműködési megállapodása, annak megkötését kérvényezni kell."
Kihez kell benyújtani az 1.sz. mellékletet?,Az 1.sz. mellékletet a kari felelőshöz kell e-mailben benyújtani.
Milyen tantárgyat kell felvenni a gyakorlat elvégzéséhez?,A Neptunban a specializációnak/ágazatnak megfelelő Szakmai gyakorlat tantárgyat kell felvenni.
Mikor kell felvenni a nyári gyakorlati munkához a tárgyat?,Nyári gyakorlati munka esetén az őszi félévben.
Milyen feltételei vannak az iskolaszövetkezeten keresztül végzett szakmai gyakorlatnak?,"A gyakorlat valós helyszínével, a szakmai gyakorlóhellyel együttműködési megállapodása kell, hogy legyen a karnak."
Kihez kell kérvényezni az együttműködési megállapodás megkötését?,Az együttműködési megállapodás megkötését a kari felelősnél kell kérvényezni.
Milyen lapot tölt ki a gyakorlóhely?,A gyakorlat elvégzéséről és a munka értékeléséről az igazolólapot tölti ki és szignózza.
Ki szignózza a munkanaplót?,A napi bontású munkanaplót a gyakorlóhely szignózza.
Ki köti a munkaszerződést?,A munkaszerződést az iskolaszövetkezet köti.
Mikor kell fordulni a gyakorlat felelőshöz?,A gyakorlat megkezdése előtt legalább 1 hónappal.
Milyen szakokon kell leadni a 2.sz. kérelmet?,Csak villamosmérnöki és egészségügyi mérnöki MSc szakokon.
Hogyan lehet beküldeni a kérelmet?,"Elektronikusan, az aláírt változat beszkennelésével."
Mi történik a gyakorlati helyen?,"A hallgatónak a szakmai gyakorlati feladatokat kell elvégeznie és azt igazolnia, illetve beszámolót kell készítenie hozzá."
"Mi történik, ha nem fordulok időben a gyakorlat felelőshöz?",Nem biztosított a gyakorlat megkezdése.
Milyen jelentősége van a 2.sz. kérelem leadásának?,A gyakorlati hely biztosításához szükséges.
A kérelem leadásának módja lehet másmilyen is?,"Nem, csak elektronikusan beküldhető."
Milyen dokumentumot kell beküldeni a kérelemmel együtt?,Az aláírt változatot kell beszkennelve beküldeni.
