Question,Answer
Mennyi ideig tart a villamosmérnöki BSc szakon a szakmai gyakorlat?,Legalább 6 hét (240 munkaóra).
"Melyek azok a feltételek, amelyeknek a gyakorlóhelynek meg kell felelnie a villamosmérnöki BSc szakon történő szakmai gyakorlat végzéséhez?","A gyakorlóhelynek rendelkeznie kell együttműködési megállapodással a karral, valamint a hallgatóval hallgatói munkaszerződést kell kötnie."
Mennyi ideig tart a mérnökinformatikus BSc szakon 2014 szeptembere előtt kezdett hallgatók esetén a szakmai gyakorlat?,Legalább 6 hét (240 munkaóra).
Milyen feltételeknek kell megfelelnie a gyakorlóhelynek a mérnökinformatikus BSc szakon történő szakmai gyakorlat végzéséhez 2014 szeptembere előtt kezdett hallgatók esetén?,"A gyakorlóhelynek rendelkeznie kell együttműködési megállapodással a karral, valamint a hallgatóval hallgatói munkaszerződést kell kötnie."
Mennyi ideig tart a mérnökinformatikus BSc szakon 2014 szeptemberétől kezdett hallgatók esetén a szakmai gyakorlat?,Legalább 8 hét (320 munkaóra).
Milyen feltételeknek kell megfelelnie a gyakorlóhelynek a mérnökinformatikus BSc szakon történő szakmai gyakorlat végzéséhez 2014 szeptemberétől kezdett hallgatók esetén?,"A gyakorlóhelynek rendelkeznie kell együttműködési megállapodással a karral, valamint a hallgatóval hallgatói munkaszerződést kell kötnie."
Mennyi ideig tart a villamosmérnöki MSc szakon a szakmai gyakorlat?,Legalább 4 hét (160 munkaóra).
Milyen feltételnek kell megfelelnie a gyakorlóhelynek a villamosmérnöki MSc szakon történő szakmai gyakorlat végzéséhez?,"A gyakorlóhelynek a hallgatóval hallgatói munkaszerződést kell kötnie. Együttműködési megállapodás megléte a karral nem követelmény, opcionális."
Mennyi ideig tart az egészségügyi mérnöki MSc szakon a szakmai gyakorlat?,Legalább 4 hét (160 munkaóra).
Milyen feltételnek kell megfelelnie a gyakorlóhelynek az egészségügyi mérnöki MSc szakon történő szakmai gyakorlat végzéséhez?,"A gyakorlóhelynek a hallgatóval hallgatói munkaszerződést kell kötnie. Együttműködési megállapodás megléte a karral nem követelmény, opcionális."
Mennyi ideig tart a mérnökinformatikus MSc szakon 2015 januárja előtt kezdett hallgatók esetén a szakmai gyakorlat?,Legalább 4 hét (160 munkaóra).
Milyen feltételek szükségesek a szakmai gyakorlat elfogadásához?,"15-20 oldalas beszámoló a végzett munkáról, napi bontású, a külső konzulenssel hitelesített munkanapló, a külső konzulens által készített értékelő jelentés."
Milyen időpontban lehet kezdeni a szakmai gyakorlatot?,"A javasolt kezdési időpont 2023. július 3., de a szakmai gyakorlat a szabályzatban foglalt időpontok szerint végezhető."
Mennyi időt kell minimum tölteni a gyakorlati helyen?,"Mérnökinformatikus MSc szakon legalább 6 hét (240 munkaóra), Gazdaságinformatikus MSc szakon 2015 januárja előtt kezdett hallgatóknak legalább 4 hét (160 munkaóra), Gazdaságinformatikus MSc szakon 2015 januárjától kezdett hallgatóknak legalább 6 hét (240 munkaóra)."
Milyen munkaszerződést kell kötni a hallgatóval a gyakorlati helyen?,A hallgatóval hallgatói munkaszerződést kell kötni.
Mik a szorgalmi időszakban elvárt heti óraszámok a gyakorlati munkára?,A szorgalmi időszakban maximum heti 20 óra gyakorlati munka végezhető.
Hol lehet megtekinteni a szakmai gyakorlat helyszíneit és témáit?,A specializációt gondozó tanszék honlapján a félév közepétől lehet megtekinteni.
Melyek a szakmai gyakorlat elfogadásának feltételei?,"15-20 oldalas beszámoló a végzett munkáról, napi bontású, a külső konzulenssel hitelesített munkanapló, a külső konzulens által készített értékelő jelentés."
Milyen időpontban lehet jelezni az esetleges nyári kollégiumi igényt?,A szakmai gyakorlat felelősnél kell jelezni az esetleges nyári kollégiumi igényt.
"Melyek azok a szakok, ahol opcionális az együttműködési megállapodás a karral?","A Gazdaságinformatikus MSc szakon az együttműködési megállapodás megléte a karral nem követelmény, opcionális."
Mennyi időt kell minimum tölteni a gyakorlati helyen a Gazdaságinformatikus MSc szakon 2015 januárja előtt kezdett hallgatóknak?,Legalább 4 hét (160 munkaóra).
Mikor kell jelezni a nyári kollégiumi igényt?,A szakmai gyakorlat felelősnél kell jelezni az esetleges nyári kollégiumi igényt is.
Mikor kell kérvényezni a megállapodás megkötését?,"Amennyiben a választott gyakorlóhellyel nincs még a karnak együttműködési megállapodása, annak megkötését kérvényezni kell."
Kihez kell benyújtani az 1.sz. mellékletet?,Az 1.sz. mellékletet a kari felelőshöz kell e-mailben benyújtani.
Milyen tantárgyat kell felvenni a gyakorlat elvégzéséhez?,A Neptunban a specializációnak/ágazatnak megfelelő Szakmai gyakorlat tantárgyat kell felvenni.
Mikor kell elvégezni az őszi félévben a nyári gyakorlati munkát?,Nyári gyakorlati munka esetén az őszi félévben.
Milyen feltételei vannak az iskolaszövetkezeten keresztül végzett szakmai gyakorlatnak?,"A gyakorlat valós helyszínével, a szakmai gyakorlóhellyel együttműködési megállapodása kell, hogy legyen a karnak."
Kihez kell kérvényezni az együttműködési megállapodás megkötését?,Az együttműködési megállapodás megkötését a kari felelősnél kell kérvényezni.
Milyen lapot tölt ki a gyakorlóhely?,A gyakorlat elvégzéséről és a munka értékeléséről az igazolólapot tölti ki és szignózza.
Ki szignózza a munkanaplót?,A napi bontású munkanaplót a gyakorlóhely szignózza.
Ki köti a munkaszerződést?,A munkaszerződést az iskolaszövetkezet köti.
Mikor kell fordulni a gyakorlat felelőshöz?,A gyakorlat megkezdése előtt legalább 1 hónappal.
Milyen szakokon kell leadni a 2.sz. kérelmet?,Csak villamosmérnöki és egészségügyi mérnöki MSc szakokon.
Milyen határideje van a 2.sz. kérelem leadásának?,A nyári időszakra 2023. július 28.
Hogyan lehet beküldeni a kérelmet?,"Elektronikusan, az aláírt változat beszkennelésével."
Mi történik a gyakorlati helyen?,"A hallgatónak a szakmai gyakorlati feladatokat kell elvégeznie és azt igazolnia, illetve beszámolót kell készítenie hozzá."
"Mi történik, ha nem fordulok időben a gyakorlat felelőshöz?",Nem biztosított a gyakorlat megkezdése.
Milyen jelentősége van a 2.sz. kérelem leadásának?,A gyakorlati hely biztosításához szükséges.
A kérelem leadásának módja lehet másmilyen is?,"Nem, csak elektronikusan beküldhető."
Milyen dokumentumot kell beküldeni a kérelemmel együtt?,Az aláírt változatot kell beszkennelve beküldeni.
Mikor kezdődik a gyakorlat?,A gyakorlat megkezdése előtt legalább 1 hónappal kell fordulni a gyakorlat felelőshöz.
Miből áll a szakmai gyakorlat?,"A szakmai gyakorlat az előírt munkaórák teljesítéséből, feladatok elvégzéséből és dokumentáció készítéséből áll."
Milyen teendők vannak az aktuális szakmai gyakorlat során?,"Az aktuális szakmai gyakorlat során fel kell venni a megfelelő tárgyat, el kell végezni a szakmai gyakorlati feladatokat, és dokumentumokat kell feltölteni a megfelelő oldalon."
Mikor kezdődik a 2021-es év nyári szakmai gyakorlata?,A 2021-es év nyári szakmai gyakorlata a vizsgaidőszak végeztével kezdődik.
"Milyen teendők vannak, ha a szakmai gyakorlatot már teljesítettem a tavaszi félévben?","Ha a tavaszi félévben teljesítetted a szakmai gyakorlatot, akkor a szorgalmi időszak végéig töltsd fel a dokumentumokat a Témáim oldalon keresztül."
Hogyan találhatom meg a szakmai gyakorlathoz kapcsolódó témákat?,"A Témák oldalon találhatók meg a szakmai gyakorlathoz kapcsolódó témák, amelyek közül választani lehet."
Mennyi időtartama van a szakmai gyakorlatnak a Villamosmérnöki B.Sc. szakon?,A Villamosmérnöki B.Sc. szakon legalább 6 hét (240 munkaóra) tart a szakmai gyakorlat.
Mennyi időtartama van a szakmai gyakorlatnak a Mérnökinformatikus B.Sc. szakon 2014. szeptembere előtt kezdett hallgatóknak?,A Mérnökinformatikus B.Sc. szakon 2014. szeptembere előtt kezdett hallgatók esetén legalább 6 hét (240 munkaóra) tart a szakmai gyakorlat.
Mennyi időtartama van a szakmai gyakorlatnak a Villamosmérnöki M.Sc. szakon?,A Villamosmérnöki M.Sc. szakon legalább 4 hét (160 munkaóra) tart a szakmai gyakorlat.
Mennyi időtartama van a szakmai gyakorlatnak a Mérnökinformatikus M.Sc. szakon 2015. januárja előtt kezdett hallgatóknak?,A Mérnökinformatikus M.Sc. szakon 2015. januárja előtt kezdett hallgatók esetén legalább 4 hét (160 munkaóra) tart a szakmai gyakorlat.
Mikor lehet végezni a szakmai gyakorlatot az iskolaszövetkezet közvetítésével?,"A szakmai gyakorlat harmadik, közvetítő félen (iskolaszövetkezet) csak abban az esetben végezhető, amennyiben a tényleges gyakorlóhely igazolja le a hallgató munkáját és mind az iskolaszövetkezet, mind a cég érvényes keretmegállapodással rendelkezik."
Milyen információkat tartalmaz a tájékoztató?,A tájékoztató a szakmai gyakorlattal kapcsolatos legfontosabb információkat tartalmazza.
Megtalálhatóak-e a tanévi időbeosztások az interneten?,"Igen, a KTH oldalán megtalálhatóak a mindenkori tanév időbeosztásai."
Hol találhatók hasznos linkek a szakmai gyakorlattal kapcsolatban?,A kari honlapon találhatók hasznos linkek a szakmai gyakorlattal kapcsolatos információkhoz.
Milyen tárgy kódok vannak a BSc-s hallgatók számára?,"A 2014 szeptembere előtt kezdett hallgatóknak VIAUASZ3 a BSc villamosmérnöki szakhoz, VIAUAS14 a BSc mérnök informatikus szakhoz. A 2014 szeptemberétől kezdett hallgatóknak VIAUAS01 a BSc villamosmérnöki szakhoz, VIAUAS00 a BSc mérnök informatikus szakhoz."
Milyen tárgy kódok vannak a MSc-s hallgatók számára?,"A 2015 februárja előtt kezdett hallgatóknak VIAUMSZ7 a MSc villamosmérnöki szakhoz, VIAUMS02 a MSc mérnök informatikus szakhoz. A 2015 februárjától kezdett hallgatóknak VIAUMS01 a MSc villamosmérnöki szakhoz, VIAUMS00 a MSc mérnök informatikus szakhoz."
Milyen tárgy kódja van a mechatronikai mérnök szaknak?,A mechatronikai mérnök szak hallgatóinak VIAUM018 a tárgy kódja.
Ki a tanszéki felelős a szakmai gyakorlattal kapcsolatban?,Dr. Blázovics László a tanszéki felelős.
Milyen elérhetősége van a tanszéki felelősnek?,A tanszéki felelős a QB.222. irodában található és a 463-1648-as telefonszámon érhető el.
Milyen jogszabályok és dokumentumok kapcsolódnak a szabályzathoz?,A 2011. évi CCIV. törvény a nemzeti felsőoktatásról és a Kormány 230/2012. (VIII) rendelete.
Milyen hatáskörrel rendelkezik a szabályzat?,A szabályzat az alapképzés szakmai gyakorlatának lebonyolításával kapcsolatos szabályokat és eljárásokat tartalmazza.
Milyen céllal végezhető a szakmai gyakorlat?,"A szakmai gyakorlat célja, hogy a hallgatók a tanulmányaik során megszerzett elméleti tudást gyakorlati környezetben alkalmazzák és tapasztalatokat szerezzenek."
Milyen helyeken és témákon végezhető a szakmai gyakorlat?,"A szakmai gyakorlatot különböző gyakorlóhelyeken és témákon lehet elvégezni, amelyeket a tanszékek hirdetnek meg."
Mikor van lehetőség tárgyfelvételre a szakmai gyakorlatra?,"A szakmai gyakorlat félévében, nyári gyakorlat esetén a következő őszi félévben van lehetőség tárgyfelvételre."
Hogyan lehet jelentkezni a szakmai gyakorlatra?,A jelentkezéshez kitöltött jelentkezési lapot kell benyújtani a tanszéknek.
Hogyan zajlik a szakmai gyakorlat végrehajtása?,"A hallgatónak a szakmai gyakorlati helyen a szakmai gyakorlati feladatokat kell elvégeznie, és azt igazolnia, illetve beszámolót kell készítenie hozzá."
Hogyan történik a szakmai gyakorlat elfogadása és értékelése?,"A hallgatónak be kell számolnia a szakmai gyakorlati tevékenységről, és az azt végző oktató által történik az elfogadás és értékelés."
Milyen feladatokat lát el a tanszék a szakmai gyakorlat során?,"A tanszék feladatai közé tartozik a szakmai gyakorlati helyek meghirdetése, a jelentkezések elbírálása és a szakmai gyakorlat végrehajtásának koordinálása."
Milyen feladatokkal rendelkezik a kari szakmaigyakorlat-felelős?,"A kari szakmaigyakorlat-felelős feladatai közé tartozik a hallgatók tájékoztatása, a jelentkezések dokumentációjának kezelése és az együttműködési megállapodások megkötése."
Milyen hosszú a villamosmérnöki alapképzési szak szakmai gyakorlata?,Legalább hat hét időtartamú.
Mennyi ideig tart a mérnökinformatikus alapképzési szak szakmai gyakorlata?,Legalább nyolc hét időtartamú.
Melyik törvény szabályozza a szakképzési hozzájárulást és a képzés fejlesztését?,2011. évi CLV. törvény.
Milyen hatályos állapotban van a BME tanulmányi és vizsgaszabályzata?,2017.03.01-én hatályos állapotban van.
