Question;Answer
Miből áll a szakmai gyakorlat?;A szakmai gyakorlat a szakmai feladatok elvégzéséből áll a gyakorlóhelyen.
Hogyan kell feltölteni a dokumentumokat a félévben teljesített szakmai gyakorlatról?;A Témáim oldalon a tanszéki portálon.
Hol találom a szakmai gyakorlat témáit?;A szakmai gyakorlat témáit a Témák oldalon találod.
Milyen tárgyat kell felvennem a tárgyfelvételnél?;A tárgyfelvételnél a mintatantervednek megfelelő tárgyat kell felvenned.
Mennyi időt kell szakmai gyakorlatot teljesíteni a Villamosmérnöki B.Sc. szakon?;6 hét (240 munkaóra)
Mennyi időt kell szakmai gyakorlatot teljesíteni a Mérnökinformatikus B.Sc. szakon 2014. szeptembere előtt kezdett hallgatóknak?;6 hét (240 munkaóra) 
Mennyi időt kell szakmai gyakorlatot teljesíteni a Mérnökinformatikus B.Sc. szakon 2014. szeptemberétől kezdett hallgatóknak?;8 hét (320 munkaóra)
Mennyi időt kell szakmai gyakorlatot teljesíteni a Villamosmérnöki M.Sc. szakon?;4 hét (160 munkaóra)
Mennyi időt kell szakmai gyakorlatot teljesíteni a Mérnökinformatikus M.Sc. szakon 2015. januárja előtt kezdett hallgatóknak?;A Mérnökinformatikus M.Sc. szakon 2015. januárja előtt kezdett hallgatóknak legalább 4 hét (160 munkaóra) szakmai gyakorlatot kell teljesíteni.
Mennyi időt kell szakmai gyakorlatot teljesíteni a Mérnökinformatikus M.Sc. szakon 2015. januárjától kezdett hallgatóknak?;A Mérnökinformatikus M.Sc. szakon 2015. januárjától kezdett hallgatóknak legalább 6 hét (240 munkaóra) szakmai gyakorlatot kell teljesíteni.
Mi a követelmény a 6 hetes vagy azt meghaladó időtartamú szakmai gyakorlat esetében?;A 6 hetes vagy azt meghaladó időtartamú szakmai gyakorlat esetében kötelező a fogadó szakmai gyakorlóhelynek szerződésben állnia a karral.
Mikor végezhető szakmai gyakorlat harmadik, közvetítő félen (iskolaszövetkezet)?;Szakmai gyakorlat harmadik, közvetítő félen (iskolaszövetkezet) csak abban az esetben végezhető, amennyiben a tényleges gyakorlóhely igazolja le a hallgató munkáját és mind az iskolaszövetkezet, mind a cég érvényes keretmegállapodással rendelkezik.
Hol találhatók a szakmai gyakorlattal kapcsolatos legfontosabb információk a vállalatok számára?;A szakmai gyakorlattal kapcsolatos legfontosabb információkat a vállalatok számára a tájékoztatóban találhatók.
Hol található a tanév időbeosztása?;A tanév időbeosztása a KTH oldalán található.
Hol találhatók a szakmai gyakorlat információk?;A szakmai gyakorlat információk a kari honlapon találhatók.
Milyen sablont kell használni a munkanaplóhoz?;A munkanaplóhoz a honlapon található sablont kell használni.
Milyen tárgykódokat kell használni a 2014 szeptembere előtt kezdett BSc-s hallgatóknak?;A 2014 szeptembere előtt kezdett BSc-s hallgatóknak a VIAUASZ3 - BSc villamosmérnöki szak és a VIAUAS14 - BSc mérnök informatikus szak kódokat kell használniuk.
Milyen tárgykódokat kell használni a 2014 szeptemberében vagy később kezdett BSc-s hallgatóknak?;A 2014 szeptemberében vagy később kezdett BSc-s hallgatóknak a VIAUAS01 - BSc villamosmérnöki szak és a VIAUAS00 - BSc mérnök informatikus szak kódokat kell használniuk.
Milyen tárgykódokat kell használni a 2015 februárja előtt kezdett MSc-s hallgatóknak?;A 2015 februárja előtt kezdett MSc-s hallgatóknak a VIAUMSZ7 - MSc villamosmérnöki szak és a VIAUMS02 - MSc mérnök informatikus szak kódokat kell használniuk.
Milyen tárgykódokat kell használni a 2015 februárjában vagy később kezdett MSc-s hallgatóknak?;A 2015 februárjában vagy később kezdett MSc-s hallgatóknak a VIAUMS01 - MSc villamosmérnöki szak és a VIAUMS00 - MSc mérnök informatikus szak kódokat kell használniuk.
Milyen tárgykódot kell használni a mechatronikai mérnök hallgatóknak?;A mechatronikai mérnök hallgatóknak a VIAUM018 - MSc mechatronikai mérnök szak kódot kell használniuk.
Ki a tanszéki felelős?;A tanszéki felelős Dr. Blázovics László.
Milyen beosztásban dolgozik a tanszéki felelős?;A tanszéki felelős adjunktus.
Hol található a tanszéki felelős irodája?;A tanszéki felelős irodája a QB.222-ben található.
Milyen telefonszámon érhető el a tanszéki felelős?;A tanszéki felelős a 463-1648-as telefonszámon érhető el.
Milyen információkat tartalmaz a cégeknek összeállított tájékoztató?;A cégeknek összeállított tájékoztató a szakmai gyakorlattal kapcsolatos legfontosabb információkat tartalmazza.
Milyen hasznos linkek találhatók a honlapon?;A honlapon a szakmai gyakorlat információk, a munkanapló sablon, és a tárgy kódok találhatók.
